Nombre;Timestamp;Enlace;Umbral;Precio
marty;2026-05-24T21:07:46.492117100;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:07:46.493397700;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:08:14.905084300;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:08:14.907106900;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:08:43.356525400;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:08:43.357538300;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:09:14.614874700;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:09:14.616886300;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
Monitor Gaming;2026-05-24T21:09:47.164947400;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:10:12.384111400;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:10:12.385472200;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:10:44.211632700;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:10:44.212644900;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:11:13.591529700;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:11:13.593546900;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:11:48.128153400;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:11:48.129157700;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:12:26.332163;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:12:26.334796800;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
marty;2026-05-24T21:12:45.581063400;https://www.ebay.es/itm/137170034225;30.00;33.66
Monitor Gaming;2026-05-24T21:12:45.583;https://www.ebay.es/p/20056257992?iid=318339191907;150.00;480.31
